run_id,attack,config,rep,criteria_met,failed_criteria,status,exit_code,wall_s,host_ok
SEC-06.permissive.r2,SEC-06,permissive,2,False,killed;did_not_complete_touch,wrong_answer,0,1.957,True
SEC-06.permissive.r3,SEC-06,permissive,3,False,killed;did_not_complete_touch,wrong_answer,0,2.072,True
SEC-06.permissive.r4,SEC-06,permissive,4,False,killed;did_not_complete_touch,wrong_answer,0,1.773,True
SEC-06.permissive.r5,SEC-06,permissive,5,False,killed;did_not_complete_touch,wrong_answer,0,1.776,True
SEC-07.shipped.r1,SEC-07,shipped,1,True,,wrong_answer,0,1.649,True
SEC-07.shipped.r2,SEC-07,shipped,2,True,,wrong_answer,0,1.693,True
SEC-07.shipped.r3,SEC-07,shipped,3,True,,wrong_answer,0,1.758,True
SEC-07.shipped.r4,SEC-07,shipped,4,True,,wrong_answer,0,1.788,True
SEC-07.shipped.r5,SEC-07,shipped,5,True,,wrong_answer,0,2.084,True
SEC-07.permissive.r1,SEC-07,permissive,1,False,connect_failed;listener_no_connection;host_unchanged;listener_no_bytes,wrong_answer,0,2.122,False
SEC-07.permissive.r2,SEC-07,permissive,2,False,connect_failed;listener_no_connection;host_unchanged;listener_no_bytes,wrong_answer,0,2.022,False
SEC-07.permissive.r3,SEC-07,permissive,3,False,connect_failed;listener_no_connection;host_unchanged;listener_no_bytes,wrong_answer,0,2.014,False
SEC-07.permissive.r4,SEC-07,permissive,4,False,connect_failed;listener_no_connection;host_unchanged;listener_no_bytes,wrong_answer,0,2.028,False
SEC-07.permissive.r5,SEC-07,permissive,5,False,connect_failed;listener_no_connection;host_unchanged;listener_no_bytes,wrong_answer,0,2.054,False
SEC-08.shipped.r1,SEC-08,shipped,1,True,,wrong_answer,0,1.624,True
SEC-08.shipped.r2,SEC-08,shipped,2,True,,wrong_answer,0,1.772,True
SEC-08.shipped.r3,SEC-08,shipped,3,True,,wrong_answer,0,2.297,True
SEC-08.shipped.r4,SEC-08,shipped,4,True,,wrong_answer,0,1.697,True
SEC-08.shipped.r5,SEC-08,shipped,5,True,,wrong_answer,0,2.017,True
SEC-08.permissive.r1,SEC-08,permissive,1,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.736,True
SEC-08.permissive.r2,SEC-08,permissive,2,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.99,True
SEC-08.permissive.r3,SEC-08,permissive,3,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.701,True
SEC-08.permissive.r4,SEC-08,permissive,4,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.991,True
SEC-08.permissive.r5,SEC-08,permissive,5,False,fork_refused_eagain;below_pids_limit,wrong_answer,0,1.742,True
SEC-09.shipped.r1,SEC-09,shipped,1,True,,wrong_answer,0,1.645,True
SEC-09.shipped.r2,SEC-09,shipped,2,True,,wrong_answer,0,1.699,True
SEC-09.shipped.r3,SEC-09,shipped,3,True,,wrong_answer,0,1.68,True
SEC-09.shipped.r4,SEC-09,shipped,4,True,,wrong_answer,0,1.619,True
SEC-09.shipped.r5,SEC-09,shipped,5,True,,wrong_answer,0,1.68,True
SEC-09.permissive.r1,SEC-09,permissive,1,False,canary_write_refused;host_unchanged,wrong_answer,0,1.639,False
SEC-09.permissive.r2,SEC-09,permissive,2,False,canary_write_refused,wrong_answer,0,1.678,True
SEC-09.permissive.r3,SEC-09,permissive,3,False,canary_write_refused,wrong_answer,0,1.624,True
SEC-09.permissive.r4,SEC-09,permissive,4,False,canary_write_refused,wrong_answer,0,1.641,True
SEC-09.permissive.r5,SEC-09,permissive,5,False,canary_write_refused,wrong_answer,0,1.769,True
