run_id,controller_id,persona,seed,mean_score,score_variance,adaptation_rho,slope,oscillations,guardrails
EXP1_rule_based_heuristic_lucky_guesser_1010,rule_based_heuristic,lucky_guesser,1010,0.9531,0.0001,0.0344,0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1001,rule_based_heuristic,overconfident_fail,1001,0.1788,0.0025,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1002,rule_based_heuristic,overconfident_fail,1002,0.18,0.0024,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1003,rule_based_heuristic,overconfident_fail,1003,0.1914,0.0032,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1004,rule_based_heuristic,overconfident_fail,1004,0.1916,0.0021,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1005,rule_based_heuristic,overconfident_fail,1005,0.1921,0.0026,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1006,rule_based_heuristic,overconfident_fail,1006,0.185,0.0023,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1007,rule_based_heuristic,overconfident_fail,1007,0.1838,0.0008,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1008,rule_based_heuristic,overconfident_fail,1008,0.1794,0.0017,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1009,rule_based_heuristic,overconfident_fail,1009,0.183,0.0025,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_overconfident_fail_1010,rule_based_heuristic,overconfident_fail,1010,0.1843,0.0029,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1001,rule_based_heuristic,struggling_junior,1001,0.2668,0.0068,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1002,rule_based_heuristic,struggling_junior,1002,0.2764,0.0048,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1003,rule_based_heuristic,struggling_junior,1003,0.28,0.0059,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1004,rule_based_heuristic,struggling_junior,1004,0.2876,0.0047,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1005,rule_based_heuristic,struggling_junior,1005,0.2798,0.0063,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1006,rule_based_heuristic,struggling_junior,1006,0.2802,0.005,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1007,rule_based_heuristic,struggling_junior,1007,0.2875,0.0031,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1008,rule_based_heuristic,struggling_junior,1008,0.2639,0.004,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1009,rule_based_heuristic,struggling_junior,1009,0.2763,0.0049,-0.4472,-0.0714,0,0
EXP1_rule_based_heuristic_struggling_junior_1010,rule_based_heuristic,struggling_junior,1010,0.2684,0.005,-0.4472,-0.0714,0,0
EXP1_ppo_adaptive_normal_1001,ppo_adaptive,normal,1001,0.463,0.0352,0.8235,-0.0107,9,0
EXP1_ppo_adaptive_normal_1002,ppo_adaptive,normal,1002,0.4521,0.0366,0.6087,-0.0,9,0
EXP1_ppo_adaptive_normal_1003,ppo_adaptive,normal,1003,0.4227,0.0331,0.2404,0.0036,6,0
EXP1_ppo_adaptive_normal_1004,ppo_adaptive,normal,1004,0.459,0.0378,0.6445,-0.0,8,0
EXP1_ppo_adaptive_normal_1005,ppo_adaptive,normal,1005,0.4367,0.0277,0.3883,-0.0071,8,0
EXP1_ppo_adaptive_normal_1006,ppo_adaptive,normal,1006,0.461,0.031,0.7877,-0.0071,9,0
EXP1_ppo_adaptive_normal_1007,ppo_adaptive,normal,1007,0.4133,0.029,0.4707,-0.0071,4,0
EXP1_ppo_adaptive_normal_1008,ppo_adaptive,normal,1008,0.4558,0.0314,0.7161,-0.0071,8,0
EXP1_ppo_adaptive_normal_1009,ppo_adaptive,normal,1009,0.4555,0.0366,0.7519,-0.0214,10,0
EXP1_ppo_adaptive_normal_1010,ppo_adaptive,normal,1010,0.4413,0.0394,0.6445,0.0107,10,0
EXP1_ppo_adaptive_nervous_expert_1001,ppo_adaptive,nervous_expert,1001,0.879,0.0013,0.0,-0.0,0,0
EXP1_ppo_adaptive_nervous_expert_1002,ppo_adaptive,nervous_expert,1002,0.8669,0.001,0.0,-0.0,0,0
EXP1_ppo_adaptive_nervous_expert_1003,ppo_adaptive,nervous_expert,1003,0.8708,0.0013,0.0,-0.0,0,0
EXP1_ppo_adaptive_nervous_expert_1004,ppo_adaptive,nervous_expert,1004,0.8849,0.0009,0.0,-0.0,0,0
EXP1_ppo_adaptive_nervous_expert_1005,ppo_adaptive,nervous_expert,1005,0.8359,0.0009,-0.3223,0.0464,0,0
EXP1_ppo_adaptive_nervous_expert_1006,ppo_adaptive,nervous_expert,1006,0.8719,0.0011,0.0,-0.0,0,0
EXP1_ppo_adaptive_nervous_expert_1007,ppo_adaptive,nervous_expert,1007,0.8777,0.001,0.0,-0.0,0,0
EXP1_ppo_adaptive_nervous_expert_1008,ppo_adaptive,nervous_expert,1008,0.8806,0.0017,0.0,-0.0,0,0
EXP1_ppo_adaptive_nervous_expert_1009,ppo_adaptive,nervous_expert,1009,0.8608,0.001,0.0,-0.0,0,0
EXP1_ppo_adaptive_nervous_expert_1010,ppo_adaptive,nervous_expert,1010,0.8355,0.0009,-0.4216,0.0643,0,0
EXP1_ppo_adaptive_lucky_guesser_1001,ppo_adaptive,lucky_guesser,1001,0.9429,0.0001,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1002,ppo_adaptive,lucky_guesser,1002,0.9461,0.0002,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1003,ppo_adaptive,lucky_guesser,1003,0.9544,0.0003,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1004,ppo_adaptive,lucky_guesser,1004,0.9508,0.0003,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1005,ppo_adaptive,lucky_guesser,1005,0.9529,0.0002,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1006,ppo_adaptive,lucky_guesser,1006,0.9525,0.0001,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1007,ppo_adaptive,lucky_guesser,1007,0.9438,0.0001,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1008,ppo_adaptive,lucky_guesser,1008,0.9431,0.0003,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1009,ppo_adaptive,lucky_guesser,1009,0.9487,0.0001,0.0,-0.0,0,0
EXP1_ppo_adaptive_lucky_guesser_1010,ppo_adaptive,lucky_guesser,1010,0.9531,0.0001,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1001,ppo_adaptive,overconfident_fail,1001,0.0415,0.0009,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1002,ppo_adaptive,overconfident_fail,1002,0.0287,0.0007,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1003,ppo_adaptive,overconfident_fail,1003,0.0345,0.0012,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1004,ppo_adaptive,overconfident_fail,1004,0.0447,0.0009,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1005,ppo_adaptive,overconfident_fail,1005,0.0398,0.0014,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1006,ppo_adaptive,overconfident_fail,1006,0.0365,0.001,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1007,ppo_adaptive,overconfident_fail,1007,0.0384,0.0008,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1008,ppo_adaptive,overconfident_fail,1008,0.0431,0.0013,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1009,ppo_adaptive,overconfident_fail,1009,0.0235,0.0008,0.0,-0.0,0,0
EXP1_ppo_adaptive_overconfident_fail_1010,ppo_adaptive,overconfident_fail,1010,0.0448,0.002,0.0,-0.0,0,0
EXP1_ppo_adaptive_struggling_junior_1001,ppo_adaptive,struggling_junior,1001,0.2579,0.0063,0.0392,-0.0607,6,0
EXP1_ppo_adaptive_struggling_junior_1002,ppo_adaptive,struggling_junior,1002,0.2574,0.0067,0.3513,-0.0321,8,0
EXP1_ppo_adaptive_struggling_junior_1003,ppo_adaptive,struggling_junior,1003,0.2643,0.0056,0.3513,-0.0357,9,0
EXP1_ppo_adaptive_struggling_junior_1004,ppo_adaptive,struggling_junior,1004,0.2692,0.0054,0.4655,-0.025,10,0
EXP1_ppo_adaptive_struggling_junior_1005,ppo_adaptive,struggling_junior,1005,0.2555,0.0073,0.5139,-0.0286,12,0
EXP1_ppo_adaptive_struggling_junior_1006,ppo_adaptive,struggling_junior,1006,0.2583,0.0064,0.3513,-0.0357,9,0
EXP1_ppo_adaptive_struggling_junior_1007,ppo_adaptive,struggling_junior,1007,0.2792,0.0026,0.1177,-0.0429,6,0
EXP1_ppo_adaptive_struggling_junior_1008,ppo_adaptive,struggling_junior,1008,0.2613,0.004,0.0,-0.0821,2,0
EXP1_ppo_adaptive_struggling_junior_1009,ppo_adaptive,struggling_junior,1009,0.2623,0.006,0.2746,-0.0429,7,0
EXP1_ppo_adaptive_struggling_junior_1010,ppo_adaptive,struggling_junior,1010,0.2596,0.0052,0.0648,-0.0464,4,0
