condition,training_seed,stratum,persona_id,persona_index,eval_seed,target,mae,volatility,oscillation,final_difficulty,activations,overrides,attempted_boundary,oracle_agreement,raw_actions,final_actions
PPO-state-shuffle | G,42,grid,normal@0.30,1,11011,1.5,0.590909,0.200000,0.000000,1.0,2,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,12012,1.5,0.590909,0.200000,0.000000,1.0,4,2,0,0.200,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Easier|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,13013,1.5,0.590909,0.200000,0.000000,1.0,10,2,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Easier
PPO-state-shuffle | G,42,grid,normal@0.30,1,14014,1.5,0.590909,0.200000,0.000000,1.0,3,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Easier|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,15015,1.5,0.590909,0.200000,0.000000,1.0,4,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Easier|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,16016,1.5,0.590909,0.200000,0.000000,1.0,2,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,17017,1.5,0.590909,0.200000,0.000000,1.0,2,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,18018,1.5,0.590909,0.200000,0.000000,1.0,4,2,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Easier|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,19019,1.5,0.590909,0.200000,0.000000,1.0,4,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Easier|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.30,1,20020,1.5,0.590909,0.200000,0.000000,1.0,2,2,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Easier|Same|Same|Same|Same|Same|Same|Same|Same
